idx,file,path,ext,bytes,sha16,width,height,ratio,bucket
15,0606bba5fec31d6a.png,dist/assets/pptx-media/0606bba5fec31d6a.png,png,152498,4f3c672db1811ff3,371,371,1.0,large-icon-or-logo-candidate
16,0749c41196e45f5d.png,dist/assets/pptx-media/0749c41196e45f5d.png,png,229716,25a78cdf4e3c94ad,3034,735,4.128,logo-candidate
17,08bf3a9e90ef777f.png,dist/assets/pptx-media/08bf3a9e90ef777f.png,png,16618,0ff6c1a46abf6458,1235,418,2.955,logo-candidate
18,0955a6ce25efe281.png,dist/assets/pptx-media/0955a6ce25efe281.png,png,121613,a90cab6f561e82a9,371,371,1.0,large-icon-or-logo-candidate
19,0985820158633f16.png,dist/assets/pptx-media/0985820158633f16.png,png,1592,8a0fde4d21c59d8a,96,96,1.0,icon-candidate
20,0ac4a972380156a6.png,dist/assets/pptx-media/0ac4a972380156a6.png,png,1830,18c0564053afbd6f,96,96,1.0,icon-candidate
21,0b4c0d3891f4dd34.png,dist/assets/pptx-media/0b4c0d3891f4dd34.png,png,1680,f334ad050fe8575e,96,96,1.0,icon-candidate
22,0d8c4d5e4fb2af64.png,dist/assets/pptx-media/0d8c4d5e4fb2af64.png,png,2129,f8090d56006b61fb,96,96,1.0,icon-candidate
23,0e0837affdf09225.png,dist/assets/pptx-media/0e0837affdf09225.png,png,1293,d9f646911f6d81b5,190,224,0.848,other-candidate
24,0e84cc002d656b8d.png,dist/assets/pptx-media/0e84cc002d656b8d.png,png,1365,dd5b8653e27dd107,96,96,1.0,icon-candidate
25,0f9f6f7f863e2558.png,dist/assets/pptx-media/0f9f6f7f863e2558.png,png,2045,329d821c3a29142e,96,96,1.0,icon-candidate
26,1307195857c1c165.png,dist/assets/pptx-media/1307195857c1c165.png,png,4394339,ef7050c83b9bfe56,4004,2642,1.516,other-candidate
27,14cfd839ad465a63.png,dist/assets/pptx-media/14cfd839ad465a63.png,png,89180,7d74d4f8bdda120d,1185,417,2.842,logo-candidate
28,152dadcf7e952d4e.png,dist/assets/pptx-media/152dadcf7e952d4e.png,png,2210,87cfdba803de4d41,96,96,1.0,icon-candidate
29,1680a7cb41534c7c.png,dist/assets/pptx-media/1680a7cb41534c7c.png,png,115065,fb159d7d9c58685c,370,371,0.997,large-icon-or-logo-candidate
30,1694bc1d8cd2a0fb.png,dist/assets/pptx-media/1694bc1d8cd2a0fb.png,png,8875,42e9b6d51c9944b3,883,188,4.697,logo-candidate
31,16a4761efc8c063f.png,dist/assets/pptx-media/16a4761efc8c063f.png,png,1570,e544f0499002926b,96,96,1.0,icon-candidate
32,197bffb3cd81c93f.png,dist/assets/pptx-media/197bffb3cd81c93f.png,png,25766,8831291a7a9b6dc1,788,788,1.0,large-icon-or-logo-candidate
33,1a371697ae600ace.png,dist/assets/pptx-media/1a371697ae600ace.png,png,5319,cbfa08032c52fb04,16,1140,0.014,other-candidate
34,1dfe6e9880e63abb.png,dist/assets/pptx-media/1dfe6e9880e63abb.png,png,1491,7ce64be9ef647c5f,96,96,1.0,icon-candidate
35,1ec0487b12e47ba3.png,dist/assets/pptx-media/1ec0487b12e47ba3.png,png,1612,c904a88a58a0510c,96,96,1.0,icon-candidate
36,1f910f6c8f80b9c1.png,dist/assets/pptx-media/1f910f6c8f80b9c1.png,png,14139,9754923fb89d51c7,1034,326,3.172,logo-candidate
37,1f9e13756ae21f1e.png,dist/assets/pptx-media/1f9e13756ae21f1e.png,png,1616,2dc9183a82cb0712,96,96,1.0,icon-candidate
38,218fa5b929300c78.png,dist/assets/pptx-media/218fa5b929300c78.png,png,106718,8057a7d50f13fb87,2235,417,5.36,logo-candidate
39,221b6d1eb7e63021.png,dist/assets/pptx-media/221b6d1eb7e63021.png,png,1784,1a611e51e5ac39ca,96,96,1.0,icon-candidate
40,2351aaabe2f614e8.png,dist/assets/pptx-media/2351aaabe2f614e8.png,png,1698,065087a105e345e5,96,96,1.0,icon-candidate
